,country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,temp,code
0,Afghanistan,90.2,10.0,7.58,44.9,1610,9.44,56.2,5.82,553,12.92,AFG
1,Albania,16.6,28.0,6.55,48.6,9930,4.49,76.3,1.65,4090,11.27,ALB
2,Algeria,27.3,38.4,4.17,31.4,12900,16.1,76.5,2.89,4460,22.58,DZA
3,Angola,119.0,62.3,2.85,42.9,5900,22.4,60.1,6.16,3530,21.51,AGO
4,Argentina,14.5,18.9,8.1,16.0,18700,20.9,75.8,2.37,10300,14.22,ARG
5,Armenia,18.1,20.8,4.4,45.3,6700,7.77,73.3,1.69,3220,6.37,ARM
6,Australia,4.8,19.8,8.73,20.9,41400,1.16,82.0,1.93,51900,21.51,AUS
7,Austria,4.3,51.3,11.0,47.8,43200,0.873,80.5,1.44,46900,6.19,AUT
8,Azerbaijan,39.2,54.3,5.88,20.7,16000,13.8,69.1,1.92,5840,12.22,AZE
9,Bahamas,13.8,35.0,7.89,43.7,22900,-0.39299999999999996,73.8,1.86,28000,25.06,BHS
10,Bangladesh,49.4,16.0,3.52,21.8,2440,7.14,70.4,2.33,758,25.47,BGD
11,Belarus,5.5,51.4,5.61,64.5,16200,15.1,70.4,1.49,6030,6.29,BLR
12,Belgium,4.5,76.4,10.7,74.7,41100,1.88,80.0,1.86,44400,9.51,BEL
13,Belize,18.8,58.2,5.2,57.5,7880,1.14,71.4,2.71,4340,25.06,BLZ
14,Benin,111.0,23.8,4.1,37.2,1820,0.885,61.8,5.36,758,27.46,BEN
15,Bhutan,42.7,42.5,5.2,70.7,6420,5.99,72.1,2.38,2180,8.58,BTN
16,Bosnia and Herzegovina,6.9,29.7,11.1,51.3,9720,1.4,76.8,1.31,4610,9.02,BIH
17,Botswana,52.5,43.6,8.3,51.3,13300,8.92,57.1,2.88,6350,21.48,BWA
18,Brazil,19.8,10.7,9.01,11.8,14500,8.41,74.2,1.8,11200,24.92,BRA
19,Bulgaria,10.8,50.2,6.87,53.0,15300,1.11,73.9,1.57,6840,10.4,BGR
20,Burkina Faso,116.0,19.2,6.74,29.6,1430,6.81,57.9,5.87,575,28.18,BFA
21,Burundi,93.6,8.92,11.6,39.2,764,12.3,57.7,6.26,231,20.27,BDI
22,Cambodia,44.4,54.1,5.68,59.5,2520,3.12,66.1,2.88,786,26.94,KHM
23,Cameroon,108.0,22.2,5.13,27.0,2660,1.91,57.3,5.11,1310,24.53,CMR
24,Canada,5.6,29.1,11.3,31.0,40700,2.87,81.3,1.63,47400,-7.14,CAN
25,Central African Republic,149.0,11.8,3.98,26.5,888,2.01,47.5,5.21,446,24.84,CAF
26,Chad,150.0,36.8,4.53,43.5,1930,6.39,56.5,6.59,897,26.65,TCD
27,Chile,8.7,37.7,7.96,31.3,19400,8.96,79.1,1.88,12900,8.37,CHL
28,China,15.7,26.3,5.07,22.6,9530,6.94,74.6,1.59,4560,6.33,CHN
29,Colombia,18.6,15.9,7.59,17.8,10900,3.86,76.4,2.01,6250,24.4,COL
30,Comoros,88.2,16.5,4.51,51.7,1410,3.87,65.9,4.75,769,23.99,COM
31,Costa Rica,10.2,33.2,10.9,35.0,13000,6.57,80.4,1.92,8200,23.85,CRI
32,Croatia,5.5,37.6,7.76,38.1,20100,0.821,76.3,1.55,13500,10.47,HRV
33,Cyprus,3.6,50.2,5.97,57.5,33900,2.01,79.9,1.42,30800,18.71,CYP
34,Denmark,4.1,50.5,11.4,43.6,44000,3.22,79.5,1.87,58000,7.82,DNK
35,Dominican Republic,34.4,22.7,6.22,33.3,11100,5.44,74.6,2.6,5450,23.93,DOM
36,Ecuador,25.1,27.9,8.06,32.4,9350,7.47,76.7,2.66,4660,21.33,ECU
37,Egypt,29.1,21.3,4.66,26.6,9860,10.1,70.5,3.19,2600,22.12,EGY
38,El Salvador,19.2,26.9,6.91,46.6,7300,2.65,74.1,2.27,2990,24.77,SLV
39,Equatorial Guinea,111.0,85.8,4.48,58.9,33700,24.9,60.9,5.21,17100,24.13,GNQ
40,Eritrea,55.2,4.79,2.66,23.3,1420,11.6,61.7,4.61,482,26.07,ERI
41,Estonia,4.5,75.1,6.03,68.7,22700,1.74,76.0,1.72,14600,5.03,EST
42,Fiji,24.1,57.8,4.86,63.9,7350,4.23,65.3,2.67,3650,23.37,FJI
43,Finland,3.0,38.7,8.95,37.4,39800,0.35100000000000003,80.0,1.87,46200,1.35,FIN
44,France,4.2,26.8,11.9,28.1,36900,1.05,81.4,2.03,40600,10.54,FRA
45,Gabon,63.7,57.7,3.5,18.9,15400,16.6,62.9,4.08,8750,25.0,GAB
46,Gambia,80.3,23.8,5.69,42.7,1660,4.3,65.5,5.71,562,26.77,GMB
47,Georgia,16.5,35.0,10.1,52.8,6730,8.55,72.8,1.92,2960,7.36,GEO
48,Germany,4.2,42.3,11.6,37.1,40400,0.758,80.1,1.39,41800,8.5,DEU
49,Ghana,74.7,29.5,5.22,45.9,3060,16.6,62.2,4.27,1310,27.25,GHA
50,Greece,3.9,22.1,10.3,30.7,28700,0.6729999999999999,80.4,1.48,26900,13.66,GRC
51,Guatemala,35.4,25.8,6.85,36.3,6710,5.14,71.3,3.38,2830,23.07,GTM
52,Guinea,109.0,30.3,4.93,43.2,1190,16.1,58.0,5.34,648,25.55,GIN
53,Guinea-Bissau,114.0,14.9,8.5,35.2,1390,2.97,55.6,5.05,547,26.61,GNB
54,Guyana,37.6,51.4,5.38,79.1,5840,5.73,65.5,2.65,3040,25.8,GUY
55,Haiti,208.0,15.3,6.91,64.7,1500,5.45,32.1,3.33,662,24.48,HTI
56,Hungary,6.0,81.8,7.33,76.5,22300,2.33,74.5,1.25,13100,10.06,HUN
57,Iceland,2.6,53.4,9.4,43.3,38800,5.47,82.0,2.2,41900,1.35,ISL
58,India,58.8,22.6,4.05,27.1,4410,8.98,66.2,2.6,1350,23.95,IND
59,Indonesia,33.3,24.3,2.61,22.4,8430,15.3,69.9,2.48,3110,25.72,IDN
60,Iraq,36.9,39.4,8.41,34.1,12700,16.6,67.2,4.56,4500,21.58,IRQ
61,Ireland,4.2,103.0,9.19,86.5,45700,-3.22,80.4,2.05,48700,9.11,IRL
62,Israel,4.6,35.0,7.63,32.9,29600,1.77,81.4,3.03,30600,19.7,ISR
63,Italy,4.0,25.2,9.53,27.2,36200,0.319,81.7,1.46,35800,11.5,ITA
64,Jamaica,18.1,31.3,4.81,49.6,8000,9.81,74.7,2.17,4680,24.47,JAM
65,Japan,3.2,15.0,9.49,13.6,35800,-1.9,82.8,1.39,44500,10.36,JPN
66,Jordan,21.1,48.3,8.04,69.0,9470,8.43,75.8,3.66,3680,18.35,JOR
67,Kazakhstan,21.5,44.2,4.29,29.9,20100,19.5,68.4,2.6,9070,5.99,KAZ
68,Kenya,62.2,20.7,4.75,33.6,2480,2.09,62.8,4.37,967,24.5,KEN
69,Kuwait,10.8,66.7,2.63,30.4,75200,11.2,78.2,2.21,38500,25.15,KWT
70,Latvia,7.8,53.7,6.68,55.1,18300,-0.812,73.1,1.36,11300,5.63,LVA
71,Lebanon,10.3,35.8,7.03,60.2,16300,0.23800000000000002,79.8,1.61,8860,15.61,LBN
72,Lesotho,99.7,39.4,11.1,101.0,2380,4.15,46.5,3.3,1170,11.97,LSO
73,Liberia,89.3,19.1,11.8,92.6,700,5.47,60.8,5.02,327,25.25,LBR
74,Libya,16.6,65.6,3.88,42.1,29600,14.2,76.1,2.41,12100,21.9,LBY
75,Lithuania,6.1,65.3,7.04,67.2,21100,2.38,73.2,1.5,12000,6.24,LTU
76,Luxembourg,2.8,175.0,7.77,142.0,91700,3.62,81.3,1.63,105000,8.88,LUX
77,Madagascar,62.2,25.0,3.77,43.0,1390,8.79,60.8,4.6,413,22.01,MDG
78,Malawi,90.5,22.8,6.59,34.9,1030,12.1,53.1,5.31,459,21.98,MWI
79,Malaysia,7.9,86.9,4.39,71.0,21100,7.27,74.5,2.15,9070,25.14,MYS
80,Mali,137.0,22.8,4.98,35.1,1870,4.37,59.5,6.55,708,28.3,MLI
81,Mauritania,97.4,50.7,4.41,61.2,3320,18.9,68.2,4.98,1200,27.69,MRT
82,Mauritius,15.0,51.2,6.0,62.2,15900,1.13,73.4,1.57,8000,23.13,MUS
83,Mongolia,26.1,46.7,5.44,56.7,7710,39.2,66.2,2.64,2650,-0.5,MNG
84,Montenegro,6.8,37.0,9.11,62.7,14000,1.6,76.4,1.77,6680,7.91,MNE
85,Morocco,33.5,32.2,5.2,43.0,6440,0.976,73.5,2.58,2830,17.23,MAR
86,Mozambique,101.0,31.5,5.21,46.2,918,7.64,54.5,5.56,419,23.69,MOZ
87,Myanmar,64.4,0.109,1.97,0.0659,3720,7.04,66.8,2.41,988,22.96,MMR
88,Namibia,56.0,47.8,6.78,60.7,8460,3.56,58.6,3.6,5190,20.04,NAM
89,Nepal,47.0,9.58,5.25,36.4,1990,15.1,68.3,2.61,592,12.74,NPL
90,Netherlands,4.5,72.0,11.9,63.6,45500,0.848,80.7,1.79,50300,9.2,NLD
91,New Zealand,6.2,30.3,10.1,28.0,32300,3.73,80.9,2.17,33700,9.98,NZL
92,Niger,123.0,22.2,5.16,49.1,814,2.55,58.8,7.49,348,27.24,NER
93,Nigeria,130.0,25.3,5.07,17.4,5150,104.0,60.5,5.84,2330,26.78,NGA
94,Norway,3.2,39.7,9.48,28.5,62300,5.95,81.0,1.95,87800,0.75,NOR
95,Oman,11.7,65.7,2.77,41.2,45300,15.6,76.1,2.9,19300,25.45,OMN
96,Pakistan,92.1,13.5,2.2,19.4,4280,10.9,65.3,3.85,1040,19.98,PAK
97,Panama,19.7,70.0,8.1,78.2,15400,2.59,77.8,2.62,8080,24.72,PAN
98,Paraguay,24.1,55.1,5.87,51.5,7290,6.1,74.1,2.73,3230,23.48,PRY
99,Peru,20.3,27.8,5.08,23.8,9960,5.71,77.9,2.54,5020,19.46,PER
100,Philippines,31.9,34.8,3.61,36.6,5600,4.22,69.0,3.16,2130,25.33,PHL
101,Poland,6.0,40.1,7.46,42.1,21800,1.66,76.3,1.41,12600,7.87,POL
102,Portugal,3.9,29.9,11.0,37.4,27200,0.643,79.8,1.39,22500,14.97,PRT
103,Qatar,9.0,62.3,1.81,23.8,125000,6.98,79.5,2.07,70300,26.92,QAT
104,Romania,11.5,32.6,5.58,38.8,17800,3.53,73.7,1.59,8230,8.81,ROU
105,Rwanda,63.6,12.0,10.5,30.0,1350,2.61,64.6,4.51,563,19.01,RWA
106,Saudi Arabia,15.7,49.6,4.29,33.0,45400,17.2,75.1,2.96,19300,24.65,SAU
107,Senegal,66.8,24.9,5.66,40.3,2180,1.85,64.0,5.06,1000,27.87,SEN
108,Serbia,7.6,32.9,10.4,47.9,12700,5.88,74.7,1.4,5410,10.18,SRB
109,Sierra Leone,160.0,16.8,13.1,34.5,1220,17.2,55.0,5.2,399,26.04,SLE
110,Slovenia,3.2,64.3,9.41,62.9,28700,-0.987,79.5,1.57,23400,8.04,SVN
111,Solomon Islands,28.1,49.3,8.55,81.2,1780,6.81,61.7,4.24,1290,25.68,SLB
112,South Africa,53.7,28.6,8.94,27.4,12000,6.35,54.3,2.59,7280,17.6,ZAF
113,Spain,3.8,25.5,9.54,26.8,32500,0.16,81.9,1.37,30700,13.03,ESP
114,Sri Lanka,11.2,19.6,2.94,26.8,8560,22.8,74.4,2.2,2810,26.76,LKA
115,Sudan,76.7,19.7,6.32,17.2,3370,19.6,66.3,4.88,1480,26.82,SDN
116,Suriname,24.1,52.5,7.01,38.4,14200,7.2,70.3,2.52,8300,25.77,SUR
117,Sweden,3.0,46.2,9.63,40.7,42900,0.991,81.5,1.98,52100,1.55,SWE
118,Switzerland,4.5,64.0,11.5,53.3,55500,0.317,82.2,1.52,74600,4.75,CHE
119,Tajikistan,52.4,14.9,5.98,58.6,2110,12.5,69.6,3.51,738,3.03,TJK
120,Thailand,14.9,66.5,3.88,60.8,13500,4.08,76.6,1.55,5080,26.25,THA
121,Timor-Leste,62.6,2.2,9.12,27.8,1850,26.5,71.1,6.23,3600,24.97,TLS
122,Togo,90.3,40.2,7.65,57.3,1210,1.18,58.7,4.87,488,26.8,TGO
123,Tunisia,17.4,50.5,6.21,55.3,10400,3.82,76.9,2.14,4140,19.36,TUN
124,Turkey,19.1,20.4,6.74,25.5,18000,7.01,78.2,2.15,10700,10.93,TUR
125,Turkmenistan,62.0,76.3,2.5,44.5,9940,2.31,67.9,2.83,4440,15.22,TKM
126,Uganda,81.0,17.1,9.01,28.6,1540,10.6,56.8,6.15,595,22.6,UGA
127,Ukraine,11.7,47.1,7.72,51.1,7820,13.4,70.4,1.44,2970,8.21,UKR
128,United Arab Emirates,8.6,77.7,3.66,63.6,57600,12.5,76.5,1.87,35000,26.83,ARE
129,Uruguay,10.6,26.3,8.35,25.4,17100,4.91,76.4,2.08,11900,17.57,URY
130,Uzbekistan,36.3,31.7,5.81,28.5,4240,16.5,68.8,2.34,1380,12.52,UZB
131,Vanuatu,29.2,46.6,5.25,52.7,2950,2.62,63.0,3.5,2970,23.84,VUT
132,Yemen,56.3,30.0,5.18,34.4,4480,23.6,67.5,4.67,1310,23.16,YEM
133,Zambia,83.1,37.0,5.89,30.9,3280,14.0,52.0,5.4,1460,21.58,ZMB
